dteday,weekday,workingday,casual,registered,cnt,day_type
2011-01-01,6,0,331,654,985,weekend
2011-01-02,0,0,131,670,801,workday
2011-01-03,1,1,120,1229,1349,workday
2011-01-04,2,1,108,1454,1562,workday
2011-01-05,3,1,82,1518,1600,workday
2011-01-06,4,1,88,1518,1606,workday
2011-01-07,5,1,148,1362,1510,workday
2011-01-08,6,0,68,891,959,weekend
2011-01-09,0,0,54,768,822,workday
2011-01-10,1,1,41,1280,1321,workday
2011-01-11,2,1,43,1220,1263,workday
2011-01-12,3,1,25,1137,1162,workday
2011-01-13,4,1,38,1368,1406,workday
2011-01-14,5,1,54,1367,1421,workday
2011-01-15,6,0,222,1026,1248,weekend
2011-01-16,0,0,251,953,1204,workday
2011-01-17,1,0,117,883,1000,workday
2011-01-18,2,1,9,674,683,workday
2011-01-19,3,1,78,1572,1650,workday
2011-01-20,4,1,83,1844,1927,workday
2011-01-21,5,1,75,1468,1543,workday
2011-01-22,6,0,93,888,981,weekend
2011-01-23,0,0,150,836,986,workday
2011-01-24,1,1,86,1330,1416,workday
2011-01-25,2,1,186,1799,1985,workday
2011-01-26,3,1,34,472,506,workday
2011-01-27,4,1,15,416,431,workday
2011-01-28,5,1,38,1129,1167,workday
2011-01-29,6,0,123,975,1098,weekend
2011-01-30,0,0,140,956,1096,workday
2011-01-31,1,1,42,1459,1501,workday
2011-02-01,2,1,47,1313,1360,workday
2011-02-02,3,1,72,1454,1526,workday
2011-02-03,4,1,61,1489,1550,workday
2011-02-04,5,1,88,1620,1708,workday
2011-02-05,6,0,100,905,1005,weekend
2011-02-06,0,0,354,1269,1623,workday
2011-02-07,1,1,120,1592,1712,workday
2011-02-08,2,1,64,1466,1530,workday
2011-02-09,3,1,53,1552,1605,workday
2011-02-10,4,1,47,1491,1538,workday
2011-02-11,5,1,149,1597,1746,workday
2011-02-12,6,0,288,1184,1472,weekend
2011-02-13,0,0,397,1192,1589,workday
2011-02-14,1,1,208,1705,1913,workday
2011-02-15,2,1,140,1675,1815,workday
2011-02-16,3,1,218,1897,2115,workday
2011-02-17,4,1,259,2216,2475,workday
2011-02-18,5,1,579,2348,2927,workday
2011-02-19,6,0,532,1103,1635,weekend
2011-02-20,0,0,639,1173,1812,workday
2011-02-21,1,0,195,912,1107,workday
2011-02-22,2,1,74,1376,1450,workday
2011-02-23,3,1,139,1778,1917,workday
2011-02-24,4,1,100,1707,1807,workday
2011-02-25,5,1,120,1341,1461,workday
2011-02-26,6,0,424,1545,1969,weekend
2011-02-27,0,0,694,1708,2402,workday
2011-02-28,1,1,81,1365,1446,workday
2011-03-01,2,1,137,1714,1851,workday
2011-03-02,3,1,231,1903,2134,workday
2011-03-03,4,1,123,1562,1685,workday
2011-03-04,5,1,214,1730,1944,workday
2011-03-05,6,0,640,1437,2077,weekend
2011-03-06,0,0,114,491,605,workday
2011-03-07,1,1,244,1628,1872,workday
2011-03-08,2,1,316,1817,2133,workday
2011-03-09,3,1,191,1700,1891,workday
2011-03-10,4,1,46,577,623,workday
2011-03-11,5,1,247,1730,1977,workday
2011-03-12,6,0,724,1408,2132,weekend
2011-03-13,0,0,982,1435,2417,workday
2011-03-14,1,1,359,1687,2046,workday
2011-03-15,2,1,289,1767,2056,workday
2011-03-16,3,1,321,1871,2192,workday
2011-03-17,4,1,424,2320,2744,workday
2011-03-18,5,1,884,2355,3239,workday
2011-03-19,6,0,1424,1693,3117,weekend
2011-03-20,0,0,1047,1424,2471,workday
2011-03-21,1,1,401,1676,2077,workday
2011-03-22,2,1,460,2243,2703,workday
2011-03-23,3,1,203,1918,2121,workday
2011-03-24,4,1,166,1699,1865,workday
2011-03-25,5,1,300,1910,2210,workday
2011-03-26,6,0,981,1515,2496,weekend
2011-03-27,0,0,472,1221,1693,workday
2011-03-28,1,1,222,1806,2028,workday
2011-03-29,2,1,317,2108,2425,workday
2011-03-30,3,1,168,1368,1536,workday
2011-03-31,4,1,179,1506,1685,workday
2011-04-01,5,1,307,1920,2227,workday
2011-04-02,6,0,898,1354,2252,weekend
2011-04-03,0,0,1651,1598,3249,workday
2011-04-04,1,1,734,2381,3115,workday
2011-04-05,2,1,167,1628,1795,workday
2011-04-06,3,1,413,2395,2808,workday
2011-04-07,4,1,571,2570,3141,workday
2011-04-08,5,1,172,1299,1471,workday
2011-04-09,6,0,879,1576,2455,weekend
2011-04-10,0,0,1188,1707,2895,workday
2011-04-11,1,1,855,2493,3348,workday
2011-04-12,2,1,257,1777,2034,workday
2011-04-13,3,1,209,1953,2162,workday
2011-04-14,4,1,529,2738,3267,workday
2011-04-15,5,0,642,2484,3126,workday
2011-04-16,6,0,121,674,795,weekend
2011-04-17,0,0,1558,2186,3744,workday
2011-04-18,1,1,669,2760,3429,workday
2011-04-19,2,1,409,2795,3204,workday
2011-04-20,3,1,613,3331,3944,workday
2011-04-21,4,1,745,3444,4189,workday
2011-04-22,5,1,177,1506,1683,workday
2011-04-23,6,0,1462,2574,4036,weekend
2011-04-24,0,0,1710,2481,4191,workday
2011-04-25,1,1,773,3300,4073,workday
2011-04-26,2,1,678,3722,4400,workday
2011-04-27,3,1,547,3325,3872,workday
2011-04-28,4,1,569,3489,4058,workday
2011-04-29,5,1,878,3717,4595,workday
2011-04-30,6,0,1965,3347,5312,weekend
2011-05-01,0,0,1138,2213,3351,workday
2011-05-02,1,1,847,3554,4401,workday
2011-05-03,2,1,603,3848,4451,workday
2011-05-04,3,1,255,2378,2633,workday
2011-05-05,4,1,614,3819,4433,workday
2011-05-06,5,1,894,3714,4608,workday
2011-05-07,6,0,1612,3102,4714,weekend
2011-05-08,0,0,1401,2932,4333,workday
2011-05-09,1,1,664,3698,4362,workday
2011-05-10,2,1,694,4109,4803,workday
2011-05-11,3,1,550,3632,4182,workday
2011-05-12,4,1,695,4169,4864,workday
2011-05-13,5,1,692,3413,4105,workday
2011-05-14,6,0,902,2507,3409,weekend
2011-05-15,0,0,1582,2971,4553,workday
2011-05-16,1,1,773,3185,3958,workday
2011-05-17,2,1,678,3445,4123,workday
2011-05-18,3,1,536,3319,3855,workday
2011-05-19,4,1,735,3840,4575,workday
2011-05-20,5,1,909,4008,4917,workday
2011-05-21,6,0,2258,3547,5805,weekend
2011-05-22,0,0,1576,3084,4660,workday
2011-05-23,1,1,836,3438,4274,workday
2011-05-24,2,1,659,3833,4492,workday
2011-05-25,3,1,740,4238,4978,workday
2011-05-26,4,1,758,3919,4677,workday
2011-05-27,5,1,871,3808,4679,workday
2011-05-28,6,0,2001,2757,4758,weekend
2011-05-29,0,0,2355,2433,4788,workday
2011-05-30,1,0,1549,2549,4098,workday
2011-05-31,2,1,673,3309,3982,workday
2011-06-01,3,1,513,3461,3974,workday
2011-06-02,4,1,736,4232,4968,workday
2011-06-03,5,1,898,4414,5312,workday
2011-06-04,6,0,1869,3473,5342,weekend
2011-06-05,0,0,1685,3221,4906,workday
2011-06-06,1,1,673,3875,4548,workday
2011-06-07,2,1,763,4070,4833,workday
2011-06-08,3,1,676,3725,4401,workday
2011-06-09,4,1,563,3352,3915,workday
2011-06-10,5,1,815,3771,4586,workday
2011-06-11,6,0,1729,3237,4966,weekend
2011-06-12,0,0,1467,2993,4460,workday
2011-06-13,1,1,863,4157,5020,workday
2011-06-14,2,1,727,4164,4891,workday
2011-06-15,3,1,769,4411,5180,workday
